Date/Time,Electricity:Facility [J](Hourly),DistrictCooling:Facility [J](Hourly),DistrictHeating:Facility [J](Hourly),Carbon Equivalent:Facility [kg](Hourly),Electricity:Facility [J](Daily),DistrictCooling:Facility [J](Daily),DistrictHeating:Facility [J](Daily),Carbon Equivalent:Facility [kg](Daily),Electricity:Facility [J](Monthly),DistrictCooling:Facility [J](Monthly),DistrictHeating:Facility [J](Monthly),Carbon Equivalent:Facility [kg](Monthly),Electricity:Facility [J](RunPeriod),DistrictCooling:Facility [J](RunPeriod),DistrictHeating:Facility [J](RunPeriod),Carbon Equivalent:Facility [kg](RunPeriod),Electricity:Facility [J](TimeStep),DistrictCooling:Facility [J](TimeStep),DistrictHeating:Facility [J](TimeStep),Carbon Equivalent:Facility [kg](TimeStep) 
 01/01  00:10:00,,,,,,,,,,,,,,,,,968.719248,0.0,166874.78162415914,0.0 
 01/01  00:20:00,,,,,,,,,,,,,,,,,968.719248,0.0,166009.41075270999,0.0 
 01/01  00:30:00,,,,,,,,,,,,,,,,,968.719248,0.0,165099.2260502031,0.0 
 01/01  00:40:00,,,,,,,,,,,,,,,,,968.719248,0.0,164128.50452007535,0.0 
 01/01  00:50:00,,,,,,,,,,,,,,,,,968.719248,0.0,163090.82886383896,0.0 
 01/01  01:00:00,5812.315488,0.0,987183.2105646666,0.0,,,,,,,,,,,,,968.719248,0.0,161980.45875368003,0.0 
 01/01  01:10:00,,,,,,,,,,,,,,,,,968.719248,0.0,162602.10443212975,0.0 
 01/01  01:20:00,,,,,,,,,,,,,,,,,968.719248,0.0,163158.7713789077,0.0 
 01/01  01:30:00,,,,,,,,,,,,,,,,,968.719248,0.0,163678.92117455987,0.0 
 01/01  01:40:00,,,,,,,,,,,,,,,,,968.719248,0.0,164180.90578367483,0.0 
 01/01  01:50:00,,,,,,,,,,,,,,,,,968.719248,0.0,164674.7007092127,0.0 
 01/01  02:00:00,5812.315488,0.0,983458.101438882,0.0,,,,,,,,,,,,,968.719248,0.0,165162.69796039715,0.0 
 01/01  02:10:00,,,,,,,,,,,,,,,,,968.719248,0.0,165749.06126971148,0.0 
 01/01  02:20:00,,,,,,,,,,,,,,,,,968.719248,0.0,166334.79905265987,0.0 
 01/01  02:30:00,,,,,,,,,,,,,,,,,968.719248,0.0,166926.97261704459,0.0 
 01/01  02:40:00,,,,,,,,,,,,,,,,,968.719248,0.0,167530.0927593773,0.0 
 01/01  02:50:00,,,,,,,,,,,,,,,,,968.719248,0.0,168146.57240477767,0.0 
 01/01  03:00:00,5812.315488,0.0,1003464.4931757625,0.0,,,,,,,,,,,,,968.719248,0.0,168776.99507219159,0.0 
 01/01  03:10:00,,,,,,,,,,,,,,,,,968.719248,0.0,169212.91581024417,0.0 
 01/01  03:20:00,,,,,,,,,,,,,,,,,968.719248,0.0,169659.7098041455,0.0 
 01/01  03:30:00,,,,,,,,,,,,,,,,,968.719248,0.0,170113.29041076255,0.0 
 01/01  03:40:00,,,,,,,,,,,,,,,,,968.719248,0.0,170570.60622068164,0.0 
 01/01  03:50:00,,,,,,,,,,,,,,,,,968.719248,0.0,171029.38693336879,0.0 
 01/01  04:00:00,5812.315488,0.0,1022074.2623276899,0.0,,,,,,,,,,,,,968.719248,0.0,171488.35314848726,0.0 
 01/01  04:10:00,,,,,,,,,,,,,,,,,968.719248,0.0,172253.6956128475,0.0 
 01/01  04:20:00,,,,,,,,,,,,,,,,,968.719248,0.0,173018.348309864,0.0 
 01/01  04:30:00,,,,,,,,,,,,,,,,,968.719248,0.0,173782.45571090815,0.0 
 01/01  04:40:00,,,,,,,,,,,,,,,,,968.719248,0.0,174546.19939834684,0.0 
 01/01  04:50:00,,,,,,,,,,,,,,,,,968.719248,0.0,175309.4276374195,0.0 
 01/01  05:00:00,5812.315488,0.0,1044982.2631645959,0.0,,,,,,,,,,,,,968.719248,0.0,176072.13649521004,0.0 
 01/01  05:10:00,,,,,,,,,,,,,,,,,968.719248,0.0,176885.84472479434,0.0 
